"ID","Description","AltNum","Remarks","ObjRef","ANrefID","ReferenceID","RefXRefID","PageNumber","CatalogueNumber","FigureNumber","lidosource","lidotype","sourcenum","lidoappellation"
"5018","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5063","45","45","10","p","n","","AAT","local","300111999","Yale Center for British Art"
"5018","OCLC Number","38239347","","5063","45","45","10","p","n","","AAT","local","300111999","Yale Center for British Art"
"4988","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5033","45","45","87","p","n","","AAT","local","300111999","Yale Center for British Art"
"4988","OCLC Number","38239347","","5033","45","45","87","p","n","","AAT","local","300111999","Yale Center for British Art"
"4998","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5043","45","45","90","p","n","","AAT","local","300111999","Yale Center for British Art"
"4998","OCLC Number","38239347","","5043","45","45","90","p","n","","AAT","local","300111999","Yale Center for British Art"
"5050","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5095","45","45","99","p","n","","AAT","local","300111999","Yale Center for British Art"
"5050","OCLC Number","38239347","","5095","45","45","99","p","n","","AAT","local","300111999","Yale Center for British Art"
"5024","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5069","45","45","122","p","n","","AAT","local","300111999","Yale Center for British Art"
"5024","OCLC Number","38239347","","5069","45","45","122","p","n","","AAT","local","300111999","Yale Center for British Art"
"5023","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5068","45","45","139","p","n","","AAT","local","300111999","Yale Center for British Art"
"5023","OCLC Number","38239347","","5068","45","45","139","p","n","","AAT","local","300111999","Yale Center for British Art"
"5062","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5107","45","45","149","p","n","","AAT","local","300111999","Yale Center for British Art"
"5062","OCLC Number","38239347","","5107","45","45","149","p","n","","AAT","local","300111999","Yale Center for British Art"
"5064","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5109","45","45","159","p","n","","AAT","local","300111999","Yale Center for British Art"
"5064","OCLC Number","38239347","","5109","45","45","159","p","n","","AAT","local","300111999","Yale Center for British Art"
"4994","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5039","45","45","171","p","n","","AAT","local","300111999","Yale Center for British Art"
"4994","OCLC Number","38239347","","5039","45","45","171","p","n","","AAT","local","300111999","Yale Center for British Art"
"5055","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5100","45","45","190","p","n","","AAT","local","300111999","Yale Center for British Art"
"5055","OCLC Number","38239347","","5100","45","45","190","p","n","","AAT","local","300111999","Yale Center for British Art"
"5052","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5097","45","45","198","p","n","f","AAT","local","300111999","Yale Center for British Art"
"5052","OCLC Number","38239347","","5097","45","45","198","p","n","f","AAT","local","300111999","Yale Center for British Art"
"5001","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5046","45","45","216","p","n","f","AAT","local","300111999","Yale Center for British Art"
"5001","OCLC Number","38239347","","5046","45","45","216","p","n","f","AAT","local","300111999","Yale Center for British Art"
"5000","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5045","45","45","281","p","n","","AAT","local","300111999","Yale Center for British Art"
"5000","OCLC Number","38239347","","5045","45","45","281","p","n","","AAT","local","300111999","Yale Center for British Art"
"635","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","680","45","45","292","p","n","","AAT","local","300111999","Yale Center for British Art"
"635","OCLC Number","38239347","","680","45","45","292","p","n","","AAT","local","300111999","Yale Center for British Art"
"5025","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5070","45","45","299","p","n","","AAT","local","300111999","Yale Center for British Art"
"5025","OCLC Number","38239347","","5070","45","45","299","p","n","","AAT","local","300111999","Yale Center for British Art"
"5045","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5090","45","45","329","p","n","","AAT","local","300111999","Yale Center for British Art"
"5045","OCLC Number","38239347","","5090","45","45","329","p","n","","AAT","local","300111999","Yale Center for British Art"
"5015","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5060","45","45","388","p","n","","AAT","local","300111999","Yale Center for British Art"
"5015","OCLC Number","38239347","","5060","45","45","388","p","n","","AAT","local","300111999","Yale Center for British Art"
"5027","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5072","45","45","409","p","n","","AAT","local","300111999","Yale Center for British Art"
"5027","OCLC Number","38239347","","5072","45","45","409","p","n","","AAT","local","300111999","Yale Center for British Art"
"5002","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5047","45","45","416","p","n","","AAT","local","300111999","Yale Center for British Art"
"5002","OCLC Number","38239347","","5047","45","45","416","p","n","","AAT","local","300111999","Yale Center for British Art"
"5028","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5073","45","45","424","p","n","","AAT","local","300111999","Yale Center for British Art"
"5028","OCLC Number","38239347","","5073","45","45","424","p","n","","AAT","local","300111999","Yale Center for British Art"
"5004","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5049","45","45","435","p","n","f","AAT","local","300111999","Yale Center for British Art"
"5004","OCLC Number","38239347","","5049","45","45","435","p","n","f","AAT","local","300111999","Yale Center for British Art"
"5029","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5074","45","45","481","p","n","f","AAT","local","300111999","Yale Center for British Art"
"5029","OCLC Number","38239347","","5074","45","45","481","p","n","f","AAT","local","300111999","Yale Center for British Art"
"5059","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5104","45","45","485","p","n","","AAT","local","300111999","Yale Center for British Art"
"5059","OCLC Number","38239347","","5104","45","45","485","p","n","","AAT","local","300111999","Yale Center for British Art"
"5030","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5075","45","45","504","p","n","","AAT","local","300111999","Yale Center for British Art"
"5030","OCLC Number","38239347","","5075","45","45","504","p","n","","AAT","local","300111999","Yale Center for British Art"
"5058","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5103","45","45","505","p","n","","AAT","local","300111999","Yale Center for British Art"
"5058","OCLC Number","38239347","","5103","45","45","505","p","n","","AAT","local","300111999","Yale Center for British Art"
"5043","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5088","45","45","487","p","n","","AAT","local","300111999","Yale Center for British Art"
"5043","OCLC Number","38239347","","5088","45","45","487","p","n","","AAT","local","300111999","Yale Center for British Art"
"5020","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5065","45","45","525","p","n","","AAT","local","300111999","Yale Center for British Art"
"5020","OCLC Number","38239347","","5065","45","45","525","p","n","","AAT","local","300111999","Yale Center for British Art"
"5051","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5096","45","45","537","p","n","","AAT","local","300111999","Yale Center for British Art"
"5051","OCLC Number","38239347","","5096","45","45","537","p","n","","AAT","local","300111999","Yale Center for British Art"
"5054","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5099","45","45","545","p","n","","AAT","local","300111999","Yale Center for British Art"
"5054","OCLC Number","38239347","","5099","45","45","545","p","n","","AAT","local","300111999","Yale Center for British Art"
"5071","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5116","45","45","556","p","n","","AAT","local","300111999","Yale Center for British Art"
"5071","OCLC Number","38239347","","5116","45","45","556","p","n","","AAT","local","300111999","Yale Center for British Art"
"5031","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5076","45","45","565","p","n","","AAT","local","300111999","Yale Center for British Art"
"5031","OCLC Number","38239347","","5076","45","45","565","p","n","","AAT","local","300111999","Yale Center for British Art"
"5036","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5081","45","45","589","p","n","","AAT","local","300111999","Yale Center for British Art"
"5036","OCLC Number","38239347","","5081","45","45","589","p","n","","AAT","local","300111999","Yale Center for British Art"
"5033","LC Call Number","ND1314.3 Y36 1998 (YCBA)","","5078","45","45","603","p","n","","AAT","local","300111999","Yale Center for British Art"
