"ID","EnteredDate","ReferenceID","ReferenceID","FormatID","Format","Title","videoURL","formatID"
"417","2012-02-06 14:23:32","2042","2042","1","v","Art in Context: Matthew Hargraves on Peter Paul Rubens's ""Peace Embracing Plenty""","http://www.youtube.com/v/dKoHvse6Ud0","1"
"27601","2012-02-08 11:19:26","2042","2042","1","v","Art in Context: Matthew Hargraves on Peter Paul Rubens's ""Peace Embracing Plenty""","http://www.youtube.com/v/dKoHvse6Ud0","1"
"31302","2012-03-06 16:26:42","2042","2042","1","v","Art in Context: Matthew Hargraves on Peter Paul Rubens's ""Peace Embracing Plenty""","http://www.youtube.com/v/dKoHvse6Ud0","1"
"40551","2012-03-06 16:33:10","2042","2042","1","v","Art in Context: Matthew Hargraves on Peter Paul Rubens's ""Peace Embracing Plenty""","http://www.youtube.com/v/dKoHvse6Ud0","1"
"10731","2012-03-06 16:35:09","2042","2042","1","v","Art in Context: Matthew Hargraves on Peter Paul Rubens's ""Peace Embracing Plenty""","http://www.youtube.com/v/dKoHvse6Ud0","1"
"414","2012-02-08 11:25:07","2043","2043","1","v","Art in Context: Matthew Hargraves on Samuel Palmer's ""The Harvest Moon""","http://www.youtube.com/v/xv8G87YnN4k","1"
"12804","2012-02-08 11:28:21","2043","2043","1","v","Art in Context: Matthew Hargraves on Samuel Palmer's ""The Harvest Moon""","http://www.youtube.com/v/xv8G87YnN4k","1"
"29342","2012-02-08 11:35:52","2043","2043","1","v","Art in Context: Matthew Hargraves on Samuel Palmer's ""The Harvest Moon""","http://www.youtube.com/v/xv8G87YnN4k","1"
"63802","2012-02-08 11:51:42","2043","2043","1","v","Art in Context: Matthew Hargraves on Samuel Palmer's ""The Harvest Moon""","http://www.youtube.com/v/xv8G87YnN4k","1"
"101","2012-03-02 15:57:17","2093","2093","1","v","Art in Context: Angus Trumble on ""Mr. and Mrs. Hill"" by Arthur Devis","http://www.youtube.com/v/KWq51m_bsew","1"
"10761","2012-03-02 15:59:46","2094","2094","1","v","Art in Context: Imogen Hart on ""A Frank Encampment"" by John Frederick Lewis","http://www.youtube.com/v/NbW8ioZxeys","1"
"10745","2012-03-06 16:22:01","2094","2094","1","v","Art in Context: Imogen Hart on ""A Frank Encampment"" by John Frederick Lewis","http://www.youtube.com/v/NbW8ioZxeys","1"
"425","2012-03-02 16:02:54","2095","2095","1","v","Art in Context: Jennifer Kowitt on ""Bifrons Park, Kent""","http://www.youtube.com/v/a8HYbvT3Zb8","1"
"430","2012-03-02 16:07:08","2096","2096","1","v","Art in Context: Jessica Dillworth on ""Virgin and Child"" by William Blake","http://www.youtube.com/v/4L34YbF1m0k","1"
"3698","2012-03-07 14:16:13","2096","2096","1","v","Art in Context: Jessica Dillworth on ""Virgin and Child"" by William Blake","http://www.youtube.com/v/4L34YbF1m0k","1"
"3598","2012-03-07 14:16:46","2096","2096","1","v","Art in Context: Jessica Dillworth on ""Virgin and Child"" by William Blake","http://www.youtube.com/v/4L34YbF1m0k","1"
"428","2012-03-02 16:08:53","2097","2097","1","v","Art in Context: Jessica David on conserving Johan Zoffany’s ""The Drummond Family""","http://www.youtube.com/v/NmUscyrPhtY","1"
"215","2012-03-07 10:20:23","2098","2098","1","v","Art in Context: Christina Smylitopoulos on ""Master Betty"" by James Northcot","http://www.youtube.com/v/abHEHjwBEUw","1"
"25396","2012-03-07 14:11:25","2098","2098","1","v","Art in Context: Christina Smylitopoulos on ""Master Betty"" by James Northcot","http://www.youtube.com/v/abHEHjwBEUw","1"
"25344","2012-03-07 14:11:43","2098","2098","1","v","Art in Context: Christina Smylitopoulos on ""Master Betty"" by James Northcot","http://www.youtube.com/v/abHEHjwBEUw","1"
"5009","2012-03-07 14:35:37","2100","2100","1","v","Art in Context: John Baskett on ""Zebra"" by George Stubbs","http://www.youtube.com/v/VVp_eX-JKRA","1"
