"localID","Name","Notes","packageID","objPackID"
"1437","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"1525","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"2646","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"4352","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"4884","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"5138","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"6318","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"15480","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"15482","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"15483","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"19205","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"24498","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"25461","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"25462","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"25463","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"37491","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"38285","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"38549","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"41109","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"45188","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"45193","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"45199","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"45200","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49004","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49090","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49477","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49496","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49500","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49691","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49692","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49693","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49694","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49698","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49699","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49700","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49702","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49703","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49704","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49706","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49738","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"49740","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
