"ObjectID","exhibitionID","ExhTitle","","beginISO","CurDate","ExhDate"
"488","759","Turner and the Sea","Monday, November 11, 2013 - Monday, September 01, 2014","2013-11-22          ","04 Nov 2013 13:56:09","Turner and the Sea, Monday, November 11, 2013 - Monday, September 01, 2014"
"422","759","Turner and the Sea","Monday, November 11, 2013 - Monday, September 01, 2014","2013-11-22          ","04 Nov 2013 13:56:09","Turner and the Sea, Monday, November 11, 2013 - Monday, September 01, 2014"
"5500","759","Turner and the Sea","Monday, November 11, 2013 - Monday, September 01, 2014","2013-11-22          ","04 Nov 2013 13:56:09","Turner and the Sea, Monday, November 11, 2013 - Monday, September 01, 2014"
"5496","759","Turner and the Sea","Monday, November 11, 2013 - Monday, September 01, 2014","2013-11-22          ","04 Nov 2013 13:56:09","Turner and the Sea, Monday, November 11, 2013 - Monday, September 01, 2014"
"46543","759","Turner and the Sea","Monday, November 11, 2013 - Monday, September 01, 2014","2013-11-22          ","04 Nov 2013 13:56:09","Turner and the Sea, Monday, November 11, 2013 - Monday, September 01, 2014"
"1882","759","Turner and the Sea","Monday, November 11, 2013 - Monday, September 01, 2014","2013-11-22          ","04 Nov 2013 13:56:09","Turner and the Sea, Monday, November 11, 2013 - Monday, September 01, 2014"
"46514","759","Turner and the Sea","Monday, November 11, 2013 - Monday, September 01, 2014","2013-11-22          ","04 Nov 2013 13:56:09","Turner and the Sea, Monday, November 11, 2013 - Monday, September 01, 2014"
"11298","759","Turner and the Sea","Monday, November 11, 2013 - Monday, September 01, 2014","2013-11-22          ","04 Nov 2013 13:56:09","Turner and the Sea, Monday, November 11, 2013 - Monday, September 01, 2014"
"5018","759","Turner and the Sea","Monday, November 11, 2013 - Monday, September 01, 2014","2013-11-22          ","04 Nov 2013 13:56:09","Turner and the Sea, Monday, November 11, 2013 - Monday, September 01, 2014"
"67312","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"67313","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"67314","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"67315","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"67316","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"67317","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"67318","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"410","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"1139","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"41211","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"54301","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"40716","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"21162","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"41275","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"40720","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"38734","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"56350","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"41273","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
"283","804","Nicola Hicks","Thursday, November 14, 2013 - Sunday, March 09, 2014","2013-11-14          ","04 Nov 2013 13:56:09","Nicola Hicks, Thursday, November 14, 2013 - Sunday, March 09, 2014"
