"ID","TableID","TextEntryID","AuthorConID","TextDate","TextEntry","TTsub","TextTypeID","texttypeID","TextType","AuthorName","AuthorDate"
"34","108","634490","2052","2","In 1817, in the aftermath of the Napoleonic Wars, Turner visited the Netherlands for the first time. He spent just a day and a half in Dordrecht (known locally as Dort), making numerous pencil sketches, and exhibited this luminous view of the city from the north at the Royal Academy in 1818. Turner, who often indulged in playful rivalry with his fellow artists, may have been stimulated by Augustus Wall Callcott’s homage to the Dutch Old Masters, “The Pool of London” (Bowood Settlement, Wiltshire), exhibited to acclaim at the Royal Academy in 1816. Described by the “Morning Chronicle” in May 1818 as “one of the most magnificent pictures ever exhibited,” Dort was immediately acquired by Turner's patron Walter Fawkes. The price was five hundred guineas, a huge sum, though as James Hamilton has recently noted, it is likely that Turner was never paid, since Fawkes was in chronic debt, and Turner had himself lent him three thousand pounds (Hamilton, 2001). The painting hung in the Drawing Room at Farnley Hall until 1966, when it was purchased by Paul Mellon.Although Turner did not visit the Netherlands until he was over forty, he was familiar with important Dutch Old Master paintings in British collections from early in his career, and his first Royal Academy submission, Fishermen at Sea (Tate, London), testifies to his admiration for Rembrandt. Dort pays tribute to one of Turner’s most formative Dutch influences, Aelbert Cuyp; the motif of the packet boat is directly borrowed from Cuyp’s Maas at Dordrecht (National Gallery of Art, Washington, D.C.), which was exhibited at the British Institution in 1815. Dort is as much a personal artistic statement as an homage to an Old Master, however; its contrast of cool and warm colors and bright chromatic scale (a contemporary viewer told the diarist Joseph Farington that “it almost puts your eyes out” [Farington, “Diary”, vol. 15, p. 5191]) mark the emergence of Turner the colorist and anticipate the brilliance of his work of the 1820s.","L","111","111","Curatorial comment","Gillian Forrester","2007-01"
"64","108","697830","","","We are grateful to Marcus Westbury of Westbury (Fine Art) Ltd. in Bath for his generous assistance in proposing the reattribution of this painting.","L","111","111","Curatorial comment","",""
"68","108","634547","6799","2","“Eagle, A Celebrated Stallion” is one of the finest of Ward’s portraits of thoroughbred racehorses and exhibits his remarkable ability to create an accurate physical portrait of a particular animal. At the same time, he evokes a transcendent Romantic type—suggesting the latent power of a barely tamed creature, full of drive, dash, and tension, whose swollen veins and flaring nostrils to some extent conjure up the elemental forces of nature itself.Having dwelled for years in the shadow cast by the great equine painters, George Stubbs and his contemporary, the slightly younger Sawrey Gilpin, Ward was obviously aware that his portraits of horses would inevitably be compared with theirs. It was not until 1809, shortly after Stubbs and Gilpin had died, that Ward felt comfortable venturing into the subgenre, his mastery of which is demonstrated in “Eagle”.Eagle and Ward’s other great racehorse paintings differ from Stubbs's in that the essential ingredient of human control—jockeys, grooms, attendants, owners, which to some extent defined the very purpose of the thoroughbred—is conspicuously absent. Neither is there much evidence of the mounting yard, finishing post, or rubbing-down house. Instead, the noble creature exists on its own, standing in a landscape that is laden with potential drama.Eagle, celebrated for his strength and speed, was a prize-winning bay colt by Volunteer out of a mare by High Flyer and a descendant of Old Partner. He was eventually exported to Virginia, where he influenced the development of American bloodstock. Eagle’s owner, Thomas Hornby Morland, used an engraving after Ward’s portrait as the frontispiece for his influential treatise “The Genealogy of the English Race Horse” (1810).","L","111","111","Curatorial comment","Angus Trumble","2007-01"
"101","108","634527","6799","2","Arthur Devis was the most prolific painter of conversation pieces, having produced more than three hundred in various standard sizes, such as this, mostly for members of the largely Tory landed gentry and professional classes. The genre did not appeal so much to Whig grandees. Although he studied and perfected many of the techniques of the Dutch Old Masters, Devis was uneasy drawing from the live model, possibly because of his training as a miniature painter. He relied on a small wooden lay figure or mannequin that he kept in the studio and, when necessary, dressed it in miniature costumes.In this two-figure conversation piece, Mr. and Mrs. Hill pose in the corner of a room which, though sparsely decorated, contains a large oval Italianate landscape painting mounted as an overmantel and a Chinese vase in the fireplace—it must be summer. Seven exquisitely painted cups and saucers on the tea table indicate that five guests are expected, while Mr. Hill has placed his book (octavo) on the mantelpiece. His pose reflects nearly contemporaneous rules for gentlemen as set out in etiquette manuals. This does not necessarily suggest that Mr. Hill was trying especially hard, nor that Devis felt it necessary to underline the point. Nevertheless, Mr. Hill’s right-angled feet, and the position of his hand in his waistcoat, are what François Nivelon’s “Rudiments of Genteel Behavior” (1737) recommended.It is tempting to identify the sitters as the Tory lawyer and eccentric George Hill (ca. 1716–1808) and his wife, Anna Barbara, daughter and heir of Thomas Medlycote of Cottingham, Northamptonshire. ","L","111","111","Curatorial comment","Angus Trumble","2007-01"
"414","108","634284","1252","2","Alfred Herbert Palmer, the artist’s son and biographer, who owned “The Harvest Moon”, described it as a typical example “full of Shoreham sentiment” and “not without some of the accompanying peculiarities.” He went on to comment, “There is nothing out of place in the laden wagon with its team of oxen, or in the harvest labourers, for their dress proclaims them labourers of long ago” (Palmer, 1892, pp. 46–47). Christiana Payne has countered the suggestion that the subject may be anachronistic or may be intended to evoke an earlier time, by noting that oxen continued to be used in parts of Britain throughout the nineteenth century and that the smocks worn by the harvesters were standard dress in the period.Although the depiction of harvesting by moonlight seems characteristic of Palmer in the Shoreham period and undoubtedly contributes to the visionary intensity of the scene, Payne also indicates that workers continuing into the night to bring in the harvest had a basis in actual agricultural practice. What does seem fanciful is the crowding of the workers, men and women together, with no open space to set the sheaves—artistic license to emphasize the bounty of the harvest (Payne, 1993, p. 102).","L","111","111","Curatorial comment","Scott Wilcox","2007-01"
"428","108","634493","6799","2","This ambitious group portrait shows three generations of the family of the Scottish goldsmith and banker Andrew Drummond (1688–1769), a widower. The date of Mr. Drummond’s death, in 1769, has generally been taken to indicate a “terminus ante quem” for the painting, but it is not entirely certain that his inclusion in the family group, sitting with his dog and somewhat isolated in the middle, was not a commemorative gesture of reverent piety postmortem. In 1766 Zoffany had painted an oval single-figure portrait of Andrew Drummond that obviously provided him with the model for this part of the composition. In both, he took care to include Dr. Drummond’s expensive snuffbox, his splendid malacca cane with a gold crutch handle, and, most important, the dog (seated this time on the garden seat). The cane and snuffbox are still owned by Drummonds Bank.Mr. Drummond’s son, one of the members of Parliament for Thetford, John Drummond (1723–74), stands to the left with his son and daughter, their ponies, and a groom. John Drummond’s aristocratic wife, Lady Charlotte (née Beauclerk, the family of the dukes of St. Albans), and their two other children complete the right-hand side of the composition. Andrew Drummond’s bank was particularly well patronized by artists, including Thomas Gainsborough, the sculptor Henry Cheere, the plasterer Joseph Rose, the architects Sir William Chambers and Henry Holland, and the landscape gardener Lancelot “Capability” Brown. Zoffany himself opened an account at the bank in 1765. Later, members of the Drummond family were crown contractors for the payment of British troops during the American War of Independence.","L","111","111","Curatorial comment","Angus Trumble","2007-01"
"568","108","634525","1252","2","Bonington left Paris for Italy with his friend and pupil Charles Rivet, later Baron Rivet, on 4 April 1826. They traveled quickly through France and Switzerland, arriving in Milan on 11 April. Bonington was eager to press on, for, as Rivet noted, he “thinks only of Venice” (Noon, 1991, p. 56). Reaching Verona on 18 April, they arrived in Venice a few days later and stayed there until the end of May. Bonington sketched incessantly in graphite, watercolor, and oils. These sketches provided subject matter for much of his finished art in the remaining months of his life. From Venice the two friends went on to Padua, Florence, Pisa, Lerici, Genoa, and Turin, never lingering in any one place. Rivet was back in Paris by 20 June, though Bonington may have done some further traveling on his own in Switzerland.In 1825 Bonington had begun sketching en plein air in oils on small millboards, which he discovered during his trip to London. He seems to have brought back about two dozen such sketches on millboard from Italy (Noon, 1991, pp. 59–60). This oil sketch shows the north side of the Grand Canal near its entrance, looking towards the Bacino di San Marco. While Bonington has deftly captured the brilliant shimmering light on the water and the facades of the palazzi, topographical accuracy was clearly not a priority. He has elided the famous Palazzo Gritti-Pisani from the succession of buildings lining the canal.","L","111","111","Curatorial comment","Scott Wilcox","2007-01"
"666","108","634526","6799","2","Constable’s cloud studies represent perhaps one of the most original and surprising aspects of his evolving approach to the art of landscape painting. This exquisite example is in several respects unusual. Unlike numbers of other bona fide cloud studies—the product of hours of plein-air work on Hampstead Heath in 1821 and 1822, together with gradually lengthening sets of notes in which Constable recorded on each the weather conditions, topographical orientation, and the time of day—a narrow strip of “landscape” is clearly indicated along the bottom margin of the panel, and birds wheel and swoop in what is in effect a foreground that elsewhere consists entirely of void and energy, the intangible space held in by clouds scudding far overhead.Michael Rosenthal has noted the congruence of the larger Romanticism of Constable’s strong feeling for skies and also the regulation of light in the landscape by the predictable behavior and motion of specific kinds of cloud, with lines from “Prelude VI,” by Wordsworth, that appear to reflect a comparable and quintessentially Romantic outlook:“The unfettered clouds and regions of the Heavens,Tumult and peace, the darkness and the light—Were all like workings of one mind, the featuresOf the same face, blossoms upon one tree:Characters of the great Apocalypse,The types and symbols of Eternity""(cited in Rosenthal, 1983, p. 167).","L","111","111","Curatorial comment","Angus Trumble","2007-01"
"896","108","634530","7020","2","This elegant portrait is a testament to the relationship of mutual respect and friendship between the artist and his subject, George James Welbore Agar-Ellis (1797–1833). Agar-Ellis, a politician and art lover, had persuaded the British government to purchase the Angerstein collection of paintings (which Lawrence had effectively curated) as the nucleus for the National Gallery. Lawrence and Agar-Ellis established a firm friendship based on mutual regard, and the artist was later commissioned to paint Agar-Ellis’s wife and young son in a charming double portrait (1827–28; private collection). Agar-Ellis served as one of Lawrence’s pallbearers.The virtuosity of this portrait can in part be explained by the extraordinary amount of time and labor that Lawrence invested in it. Twelve sittings are recorded in Agar-Ellis’s diary between October 1823 and May 1824, several lasting for three or more hours (Northamptonshire Records Office, Annaly of Holdenby Collection, ref. X1384). The sitter’s handsome features are complimented by a masterfully painted costume of velvet and fur, referred to in Agar-Ellis’s diary as a “crimson =Titian-like pelisse,” which Lawrence had personally selected for the portrait. The face is painted smoothly in comparison with the slash of blue ribbon and the bristling fur. A second white highlight glimmers in Agar-Ellis’s right pupil, a trick that Lawrence used to suggest the glassy moisture of the human eye with remarkable fidelity. Considered the consummate portrayer of female beauty, Lawrence here delineates an equally compelling vision of masculinity. The portrait—a study in soft curves, beginning with the sitter’s mop of brown curls and his delicately crimped pinky finger and extending through his relaxed posture—proves that Lawrence’s penchant for sinuous torsos and sloping shoulders was not reserved for his female sitters.","L","111","111","Curatorial comment","Cassandra Albinson","2007-01"
"904","108","634531","9449","2","John Linnell purchased a copy of Robert Bloomfield’s “The Farmer's Boy: A Rural Poem” (1800) around 1815 (Story, 1982, p. 79). A self-taught “Peasant Poet,” Bloomfield was also known as “The Suffolk Poet” for his commemoration of agricultural life in that area. He acknowledged the tedium and anxiety of living off the land in the story of Giles, the farmer’s boy, and his various labors throughout the seasons. In summer, for example,“The Farmer’s life displays in every partA moral lesson to the sensual heartThough in the lap of Plenty, thoughtful still,He looks beyond the present good or ill”.(Wickett and Duval, 1971, p. 80)The poem cycle celebrates a rural community and the sense of the divine spirit that pervaded its pursuits. As Linnell turned away from organized religion and toward a sacred conception of landscape, he would have appreciated this sentiment. His 1830 painting “The Farmer Boy”, exhibited at the Royal Academy, commemorates this connection to Bloomfield. “The Shepherd Boy” is thought to be a smaller replica of this earlier work, likewise inspired by Bloomfield and the motto of “The Farmer's Boy”, taken from Alexander Pope’s poem “Summer—The Second Pastoral; or Alexis” (1709): “a Shepherd's boy, he seeks no better name.” The child gently engages the viewer, looking up as he plays the fipple flute, an instrument similar to a recorder.The humble origins of the shepherd boy and his humility parallel the pastoral identity of Christ as a “shepherd of men.” Linnell’s close relationship with Samuel Palmer in this period motivated this exploration. In 1828 and 1829, Linnell and George Richmond visited Palmer at Shoreham in Kent, where the younger artist was engaged in his own visionary experiments with landscape painting. Linnell maintained this symbiotic relationship among landscape study, artistic practice, and religious belief throughout his career.","L","111","111","Curatorial comment","Morna O'Neill","2007-01"
"1113","108","634534","7836","2","Although this painting is more commonly known as “The Silver Age”, it was first exhibited at the Royal Academy in 1777 as “The Market Girl”. It has been suggested that in his travels to Paris Walton may have become acquainted with Chardin, whose influence can be perceived in the scale, composition, and tranquil mood of the scene. The genre paintings that Walton exhibited in the mid-1770s certainly constituted a shift away from his early portraits in style and subject matter. The model may be one of Walton’s nieces, who posed for several of his genre scenes.The publisher Valentine Green assigned the alternate title when he published an engraving after this work paired with another, after a painting by Benjamin West (probably “A Domestic Scene”, RA 1776, no. 321), as “The Silver Age” and “The Golden Age”, respectively. In Ovid’s “Metamorphoses”, the Golden Age was one of “immortal spring” during which the earth“. . . yet guiltless of the plough, And unprovok’d, did fruitful stores allow.During the Silver Age, spring “was but a season of the year”:Then ploughs, for seed, the fruitful furrows broke,And oxen labour'd first beneath the yoke.”(Ovid, “Metamorphoses”, p. 5)The classical metaphor is not entirely apt, not least because “The Golden Age” depicts a view, through a doorway, of a man plowing a field. Green, however, may have intended a more general association concerning the passage of time and innocence. The sleeping baby in the foreground of West’s composition, blissfully unaware of the world’s travails, could be taken as a younger incarnation of the market girl, bundled against the cold, whose basket of chickens signals her participation in an agricultural economy.","L","111","111","Curatorial comment","Eleanor Hughes","2007-01"
"1264","108","627047","7112","2","In the late 1920s Paul Nash produced a series of paintings where a single, often mysterious object dominates the composition. In Souvenir of Florence, Nash represents a vast amphora which he had seen in Florence’s railway station in 1925 and was sufficiently impressed with to sketch for future reference. Four years later he used it in a surrealist setting, apparently floating above the river Arno with the Ponte Vecchio glimpsed in the background. The reflection of a faceless man and woman eating in a restaurant is caught in the amphora’s polished surface. As a container for wine, the amphora and its restaurant setting hint at the sensory pleasures of the body. Yet, the apparent distance between the couple and the urn-like quality of the amphora also evoke a melancholy quality, suggestive of isolation and even death. ","L","111","111","Curatorial comment","Matthew Hargraves","2011-03"
"1301","108","627051","7112","2","This view from a window represents the walled garden at Pigott's near High Wycombe, the farm where the artist and typographer Eric Gill had moved his household in 1928. David Jones was a regular visitor to Pigott's in the 1930s and became part of Gill's inner circle. At this time Jones wrote: ‘I always work from the window of a house if at all possible. I like looking out on the world from a reasonably sheltered position. I can’t paint in the wind and I like the indoors-outdoors, contained yet limitless feeling of windows and doors…The rambling, familiar, south, walled, small, flower-beddedness of Pigotts…did something.’ A deeply Catholic artist, Jones inflected his representations of the natural world with strong theological significance. In Walled Garden he evokes the idea of the Virgin Mary as a hortus conclusus, an enclosed garden in which the Eternal Word was nurtured and given flesh. Here the exuberance of the garden at Pigott's echoes the opening words of Mary's great Magnificat spoken to her cousin Elizabeth at the Visitation: ‘My soul doth magnify the Lord, And my spirit hath rejoiced in God my Saviour.’ (Luke 1: 46-47).","L","111","111","Curatorial comment","Matthew Hargraves","2011-03"
"3096","108","627052","7112","2","David Jones began a series of large Arthurian drawings illustrating Malory’s Le Morte d’Arthur during the early 1940s when the world was mired in war. In this example the unmarried lovers Sir Gareth and Lady Lyonesse indulge in an amorous tryst, but are disturbed by a group of armed knights sent by Lady Lyonesse’s sister. Sir Gareth leaps from the bed, sword in hand, but is wounded in the struggle with his assailants. Jones thought this subject from Mallory about sexual continence and punishment was ‘of great psychological interest’ and the composition introduces elements that repeatedly contrast pain and pleasure: naked flesh with naked steel, soft fabrics and hard armor, flaming brands and roaring fires. ","L","111","111","Curatorial comment","Matthew Hargraves","2011-03"
"2137","108","634706","7836","2","The coronation of James II took place on 23 April 1685. Owing to “the wearisomeness that the Fatigue of those Glorious Processions and stately Ceremonies of the Coronations had bred in their Majesties,” the fireworks display planned for that evening had to be postponed until the next day, when “between five and six [o'clock] London seem’d to have disembogued and emptied its Inhabitants into the Boats and on the Shoars of the Thames” (Lowman, 1685, p. 1).This drawing is part of a series of four views showing the crowds of spectators gathering on the river and the decorated pontoon stationed opposite Whitehall Palace from which the fireworks were launched. The first view (now in the collection of the Boymans-van Beuningen Museum in Rotterdam) is inscribed “No. 1” and looks upstream; the third and fourth views (both numbered, in the Boymans-van Beuningen and National Maritime Museum, respectively) look downstream from a position farther upriver. In this drawing the dimensions, the cropping of the vessels on the far right, and the direction in which the oarsmen are rowing suggest that it was originally the left-hand panel of the second view (now in the collection of the National Maritime Museum), which is taken from directly opposite the pontoon, perhaps from Whitehall itself.“Celebration on the Thames” demonstrates not only van de Velde’s expertise in drawing various types of vessels, including ceremonial barges, wherries, and East India Company vessels (identifiable by their striped flags), but also his persuasiveness in depicting the human figure in miniature. ","L","111","111","Curatorial comment","Eleanor Hughes","2007-01"
"3727","108","634711","1252","2","Blake claimed that his method of relief etching, which allowed him to create text and image together in the same process on the same copper plate, had come to him in a vision of his dead brother, Robert. Using an acid-resistant varnish, Blake could draw and write on the plate. When etched in an acid bath, image and text, protected by the varnish, would be left standing in relief. The areas in relief would then be inked and printed. Assisted by his wife, Catherine, Blake would then strengthen the printed lines with pen and ink and color the images with watercolor. Although labor-intensive, the entire process of production was controlled by Blake without the compromises of working with a commercial publisher.In 1788 Blake made his first experiments with relief etching to produce illustrated texts, “All Religions Are One” and “There Is No Natural Religion”. A year later he used the process to create “Songs of Innocence”, his first illuminated book of poetry. Couched in the form of a book for children, the simplicity of Blake’s lyrics and of the charming designs in which they are embedded are deceptive. The “Songs” are profound meditations on the human condition, and the richness and complexity of Blake’s vision became more fully apparent with his production of a companion volume, “Songs of Experience”, in 1794. The following year he combined the two books under the title “Songs of Innocence and of Experience”.Blake produced none of his illuminated books in large editions; indeed, each copy was unique, with variations in coloring and even in the order of plates. The twenty-six known copies of “Songs of Innocence”, four “Songs of Experience”, and twenty-four “Songs of Innocence and of Experience” (a figure that also includes separately issued copies of “Innocence” and “Experience” that were later combined by collectors or dealers) were among Blake’s best sellers. ","L","111","111","Curatorial comment","Scott Wilcox","2007-01"
"1517","108","634716","6799","2","The English poet, man of letters, satirist, wit, translator of Homer, and editor of Shakespeare, Alexander Pope (1688–1744) was one of the greatest figures of the Enlightenment. Largely self-educated, Pope was also one of the first English poets to generate a comfortable income from nondramatic writing. His brilliance was such that he came to dominate the world of English poetry and letters in the first half of the eighteenth century in a manner to which no subsequent poet could reasonably aspire or possibly emulate. The fluency and elegance of his poetic writing were matched by the originality and sharpness of his intellect. Pope was a Catholic, a friend of Jonathan Swift, a keen gardener, and a neighbor, at Twickenham, of the traveler and diarist Lady Mary Wortley Montagu.Pope’s fame was such that he was also one of the most frequently portrayed men of the age. Wimsatt catalogued more than sixty portraits, many of which exist in multiple versions, and still others reappear from time to time. There are portraits of Pope by Godfrey Kneller, Jonathan Richardson the elder, Jervas, Hoare of Bath, and Van Loo. And there are busts by Michael Rysbrack and four marble versions of the present work, which in due course spawned sets of four successfully marketed library busts of Shakespeare, Milton, Dryden, and Pope, based on the original terracotta modello (1738, Barber Institute of Arts at the University of Birmingham) by Louis-François Roubiliac.This fine version, which was given to the Center by Paul Mellon, was possibly commissioned by the author, Tory politician, and diplomat Viscount Bolingbroke (1678–1751) and was subsequently owned by two prime ministers. It is not clear whether it was one of the two marble busts of Pope that were listed as “marble head” and “marble bust” in the sculptor’s studio sale of 1762. The socle is modern. The other three versions are at Temple Newsam House, Leeds; the Fitzwilliam collection at Minton, Peterborough; and the Shipley Art Gallery, Gateshead. George Vertue thought Roubiliac’s busts of “Mr. Pope more like than any other sculptor has done I think” (Vertue, “Note Books”), and Reynolds told Malone that the sculptor had described Pope’s appearance during the sittings “as that of a person who had been much afflicted with the headache, and that he should have known the fact from the contracted appearance of the skin above the eyebrows, though he had not otherwise been apprized of it” (Wimsatt, 1965, p. 229). ","L","111","111","Curatorial comment","Angus Trumble","2007-01"
