"ID","ObjectNumber","Period","Culture","Term","NotType","AATID","AATCN"
"107","B1970.1","18th century","British","British","Culture","300111159","AAT"
"21896","B1970.3.10","17th century","German","German","Culture","300111192","AAT"
"22691","B1970.3.1001","17th century","British","British","Culture","300111159","AAT"
"22697","B1970.3.1007","17th century","British","British","Culture","300111159","AAT"
"22742","B1970.3.1052","17th century","British","British","Culture","300111159","AAT"
"21897","B1970.3.11","17th century","German","German","Culture","300111192","AAT"
"22945","B1970.3.1101","18th century","British","British","Culture","300111159","AAT"
"22002","B1970.3.111","18th century","British","British","Culture","300111159","AAT"
"22971","B1970.3.1126","17th century","British","British","Culture","300111159","AAT"
"22972","B1970.3.1127","","British","British","Culture","300111159","AAT"
"21898","B1970.3.12","17th century","German","German","Culture","300111192","AAT"
"22011","B1970.3.120","18th century","British","British","Culture","300111159","AAT"
"23055","B1970.3.1207","17th century","British","British","Culture","300111159","AAT"
"22012","B1970.3.121","18th century","British","British","Culture","300111159","AAT"
"22015","B1970.3.124","18th century","British","British","Culture","300111159","AAT"
"23121","B1970.3.1273","17th century-18th century","Dutch","Dutch","Culture","300111175","AAT"
"23122","B1970.3.1274","18th century","Dutch","Dutch","Culture","300111175","AAT"
"23123","B1970.3.1275","17th century-18th century","British","British","Culture","300111159","AAT"
"22019","B1970.3.128","18th century","British","British","Culture","300111159","AAT"
"23145","B1970.3.1297","17th century","Dutch","Dutch","Culture","300111175","AAT"
"23146","B1970.3.1298","17th century-18th century","German","German","Culture","300111192","AAT"
"23147","B1970.3.1299","17th century-18th century","British","British","Culture","300111159","AAT"
"21899","B1970.3.13","17th century","German","German","Culture","300111192","AAT"
"23148","B1970.3.1300","18th century","British","British","Culture","300111159","AAT"
"23150","B1970.3.1301","18th century","British","British","Culture","300111159","AAT"
"23153","B1970.3.1304","18th century","British","British","Culture","300111159","AAT"
"23155","B1970.3.1306","17th century-18th century","British","British","Culture","300111159","AAT"
"23156","B1970.3.1307","17th century-18th century","British","British","Culture","300111159","AAT"
"23157","B1970.3.1308","17th century-18th century","British","British","Culture","300111159","AAT"
"23158","B1970.3.1309","17th century-18th century","British","British","Culture","300111159","AAT"
"22023","B1970.3.132","18th century","British","British","Culture","300111159","AAT"
"23170","B1970.3.1321","18th century","British","British","Culture","300111159","AAT"
"21900","B1970.3.14","17th century-18th century","Dutch","Dutch","Culture","300111175","AAT"
"21901","B1970.3.15","17th century-18th century","Dutch","Dutch","Culture","300111175","AAT"
"22040","B1970.3.150","18th century","British","British","Culture","300111159","AAT"
"22041","B1970.3.151","18th century","British","British","Culture","300111159","AAT"
"21902","B1970.3.16","18th century","Flemish","Flemish","Culture","300111184","AAT"
"22060","B1970.3.170","18th century","British","British","Culture","300111159","AAT"
"22061","B1970.3.171","18th century","British","British","Culture","300111159","AAT"
"22067","B1970.3.177","18th century","British","British","Culture","300111159","AAT"
"22074","B1970.3.183","18th century","British","British","Culture","300111159","AAT"
"21707","B1970.3.218","18th century","British","British","Culture","300111159","AAT"
"21708","B1970.3.219","18th century","British","British","Culture","300111159","AAT"
"51689","B1970.3.224","18th century","Irish","Irish","Culture","300111259","AAT"
"21713","B1970.3.225","18th century","Irish","Irish","Culture","300111259","AAT"
"21910","B1970.3.23","","German","German","Culture","300111192","AAT"
"21911","B1970.3.24","","German","German","Culture","300111192","AAT"
"21731","B1970.3.243","19th century","British","British","Culture","300111159","AAT"
"21735","B1970.3.247","18th century","British","British","Culture","300111159","AAT"
"21742","B1970.3.254","18th century","British","British","Culture","300111159","AAT"
