"ID","objRightID","ConstituentID","NameID","DisplayOrder","RoleID","TableID","Prefix","Suffix","RoletypeID","Active","Displayed","DisplayName"
"5071","23","11068","12710","1","99","126","","","19","1","1","Design and Artists Copyright Society"
"5054","25","11068","12710","1","99","126","","","19","1","1","Design and Artists Copyright Society"
"1271","72","11068","12710","1","99","126","","","19","1","1","Design and Artists Copyright Society"
"41451","73","6428","3625","1","99","126","US:","","19","1","1","US: Artists Rights Society"
"41451","73","11068","12710","2","99","126","UK:","","19","1","1","UK: Design and Artists Copyright Society"
"2942","74","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"2942","74","11068","12710","2","99","126","UK:","","19","1","1","UK: Design and Artists Copyright Society"
"3337","75","6428","3625","1","99","126","US:","","19","1","1","US: Artists Rights Society"
"3337","75","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"3120","76","6428","3625","1","99","126","US:","","19","1","1","US: Artists Rights Society"
"3120","76","11068","12710","2","99","126","UK:","","19","1","1","UK: Design and Artists Copyright Society"
"1248","113","11068","12710","1","99","126","","","19","1","1","Design and Artists Copyright Society"
"9476","114","11068","12710","1","99","126","","","19","1","1","Design and Artists Copyright Society"
"9477","115","11068","12710","1","99","126","","","19","1","1","Design and Artists Copyright Society"
"5725","116","11068","12710","1","99","126","","","19","1","1","Design and Artists Copyright Society"
"5056","131","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"5056","131","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"5057","132","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"5057","132","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"1261","133","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"1261","133","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"92","134","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"92","134","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"1359","135","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"1359","135","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"4006","136","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"4006","136","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"1411","137","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"1411","137","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"1526","138","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"1526","138","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"4252","139","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"4252","139","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"1446","140","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"1446","140","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"1436","141","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"1436","141","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"1437","142","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"1437","142","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"50804","299","10975","12576","1","99","126","","","19","1","1","Karsten Schubert"
"50805","300","10975","12576","1","99","126","","","19","1","1","Karsten Schubert"
"50796","301","10975","12576","1","99","126","","","19","1","1","Karsten Schubert"
"1251","306","2027","12398","1","99","126","Estate of","","19","1","1","Estate of Bridgeman Artists' Copyright Service"
"13784","310","2408","6965","1","99","126","","","19","0","1","Jonathan Clark &amp; Co"
"5726","371","11068","12710","1","99","126","UK:","","19","1","1","UK: Design and Artists Copyright Society"
"5726","371","6428","3625","2","99","126","US:","","19","1","1","US: Artists Rights Society"
"105","372","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"48770","373","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"1431","374","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"1226","375","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"1231","376","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3112","377","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3400","378","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3411","379","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3416","380","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3417","381","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3418","382","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3419","383","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3420","384","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3421","385","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3422","386","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3401","387","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3402","388","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3403","389","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3404","390","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3405","391","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3406","392","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3407","393","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3408","394","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3409","395","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3410","396","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3412","397","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3413","398","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3414","399","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3415","400","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"1375","401","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4245","402","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"39562","403","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"39559","404","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"39564","405","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"39567","406","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"39568","407","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"36685","408","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"36694","409","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"36696","410","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"36698","411","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"36700","412","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"36701","413","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"36702","414","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4828","415","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4829","416","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
