ObjectId,ConstituentId,ObjectNumber,Title,Dated,CreditLine,Dimensions,CreditLineRepro,Medium,Classification,SubClassification,description_web,ImageUrl,ImageUrl2,DataProvider
1,2692,1984.124.1,"Iran, from the United Nations Series",1944,Gift of Container Corporation of America,sheet: 11 x 9 in. (28.0 x 22.7 cm),,gouache and metallic gouache on paper,Painting,,,http://americanart.si.edu/images/1984/1984.124.1_1a.jpg,http://americanart.si.edu/images/1984/1984.124.1_1a.jpg,Smithsonian American Art Museum
2,3,1973.28.2,Harvest Home,1887,Gift of Sen. Stuart Symington and Rep. James W. Symington,sheet: 21 x 14 1/4 in. (53.3 x 36.2 cm),,pen and ink on paperboard,Drawing,,,http://americanart.si.edu/images/1973/1973.28.2_1a.jpg,http://americanart.si.edu/images/1973/1973.28.2_1a.jpg,Smithsonian American Art Museum
7,5,1975.83.10,"Brooklyn Bridge, Water and Dock Streets, Brooklyn, from the series Changing New York",1936,"Transfer from the Evander Childs High School, Bronx, New York through the General Services Administration",sheet: 18 x 14 3/8 in. (45.7 x 36.6 cm.),,gelatin silver print mounted on paperboard,Photography,Photoprint,,http://americanart.si.edu/images/1975/1975.83.10_1a.jpg,http://americanart.si.edu/images/1975/1975.83.10_1a.jpg,Smithsonian American Art Museum
8,5,1975.83.18,"Central Park Plaza, from Fifth Avenue at 58th Street, from the series Changing New York",1937,"Transfer from the Evander Childs High School, Bronx, New York through the General Services Administration",sheet: 17 3/4 x 14 1/4 in. (45.2 x 36.0 cm.),,gelatin silver print mounted on paperboard,Photography,Photoprint,,http://americanart.si.edu/images/1975/1975.83.18_1a.jpg,http://americanart.si.edu/images/1975/1975.83.18_1a.jpg,Smithsonian American Art Museum
10,5,1975.83.12,"Downtown Skyport, Foot of Wall Street (from series, Changing New York)",1936,"Transfer from the Evander Childs High School, Bronx, New York through the General Services Administration",sheet: 18 x 14 1/4 in. (45.6 x 36.1 cm.),,gelatin silver print mounted on paperboard,Photography,Photoprint,,http://americanart.si.edu/images/1975/1975.83.12_1a.jpg,http://americanart.si.edu/images/1975/1975.83.12_1a.jpg,Smithsonian American Art Museum
13,5,1983.16.2,"George Washington Bridge, Riverside Drive and 179th Street, Manhattan (from series, Changing New York)",1936,Gift of George McNeil,image: 9 5/8 x 7 3/4 in. (24.6 x 19.7 cm.),,gelatin silver print on paper,Photography,Photoprint,,http://americanart.si.edu/images/1983/1983.16.2_1a.jpg,http://americanart.si.edu/images/1983/1983.16.2_1a.jpg,Smithsonian American Art Museum
14,5,1975.83.15,"Greyhound Bus Terminal--Manhattan (from series, Changing New York)",1936,"Transfer from the Evander Childs High School, Bronx, New York through the General Services Administration",sheet: 18 x 23 5/8 in. (45.6 x 57.3 cm.),,gelatin silver print on paper mounted on paperboard,Photography,Photoprint,,http://americanart.si.edu/images/1975/1975.83.15_1a.jpg,http://americanart.si.edu/images/1975/1975.83.15_1a.jpg,Smithsonian American Art Museum
16,5,1983.16.6,"Manhattan Bridge, from the series Changing New York",1936,Gift of George McNeil,image: 9 3/4 x 7 5/8 in. (24.6 x 19.4 cm.),,gelatin silver print on paper,Photography,Photoprint,,http://americanart.si.edu/images/1983/1983.16.6_1a.jpg,http://americanart.si.edu/images/1983/1983.16.6_1a.jpg,Smithsonian American Art Museum
17,5,1975.83.14,"Manhattan Bridge, from the series Changing New York",1936,"Transfer from the Evander Childs High School, Bronx, New York through the General Services Administration",sheet: 17 7/8 x 14 1/8 in. (45.3 x 35.9 cm.),,gelatin silver print mounted on paperboard,Photography,Photoprint,,http://americanart.si.edu/images/1975/1975.83.14_1a.jpg,http://americanart.si.edu/images/1975/1975.83.14_1a.jpg,Smithsonian American Art Museum
19,5,1975.83.8,"Pine Street, U.S. Treasury in Foreground, from the series Changing New York",1936,"Transfer from the Evander Childs High School, Bronx, New York through the General Services Administration",sheet: 17 7/8 x 14 1/2 in. (45.5 x 36.8 cm.),,gelatin silver print mounted on paperboard,Photography,Photoprint,,http://americanart.si.edu/images/1975/1975.83.8_1a.jpg,http://americanart.si.edu/images/1975/1975.83.8_1a.jpg,Smithsonian American Art Museum
20,5,1975.83.16,"Rockefeller Center, Collegiate Church of St. Nicholas in Foreground, from the series Changing New York",1936,"Transfer from the Evander Childs High School, Bronx, New York through the General Services Administration",sheet: 18 x 14 5/8 in. (45.7 x 37.1 cm.),,gelatin silver print mounted on paperboard,Photography,Photoprint,,http://americanart.si.edu/images/1975/1975.83.16_1a.jpg,http://americanart.si.edu/images/1975/1975.83.16_1a.jpg,Smithsonian American Art Museum
21,5,1975.83.17,"Rockefeller Center, from 444 Madison Avenue, from the series Changing New York",1937,"Transfer from the Evander Childs High School, Bronx, New York through the General Services Administration",sheet: 17 7/8 x 14 1/8 in. (45.5 x 35.9 cm.),,gelatin silver print mounted on paperboard,Photography,Photoprint,,http://americanart.si.edu/images/1975/1975.83.17_1a.jpg,http://americanart.si.edu/images/1975/1975.83.17_1a.jpg,Smithsonian American Art Museum
22,5,1983.16.1,"Seventh Avenue Looking North from 35th Street Manhattan (from series, Changing New York)",1935,Gift of George McNeil,image and sheet: 10 x 8 in. (25.4 x 20.3 cm.),,gelatin silver print on paper,Photography,Photoprint,,http://americanart.si.edu/images/1983/1983.16.1_1a.jpg,http://americanart.si.edu/images/1983/1983.16.1_1a.jpg,Smithsonian American Art Museum
24,5,1975.83.19,"St. Mark's Church, with Skywriting Spiral, East 10th Street at 2nd Avenue (from series, Changing New York)",1937,"Transfer from the Evander Childs High School, Bronx, New York through the General Services Administration",sheet: 18 x 14 1/2 in. (45.8 x 36.7 cm.),,gelatin silver print mounted on paperboard,Photography,Photoprint,,http://americanart.si.edu/images/1975/1975.83.19_1a.jpg,http://americanart.si.edu/images/1975/1975.83.19_1a.jpg,Smithsonian American Art Museum
25,5,1983.16.3,"Sutton Place, Anne Morgan's Townhouse on Corner, Northeast Corner of East 57th Street, Manhattan (from series Changing New York)",1936,Gift of George McNeil,sheet: 8 x 10 in. (20.3 x 25.4 cm.); image...,,gelatin silver print on paper,Photography,Photoprint,,http://americanart.si.edu/images/1983/1983.16.3_1a.jpg,http://americanart.si.edu/images/1983/1983.16.3_1a.jpg,Smithsonian American Art Museum
27,5,1975.83.11,"Trucks, West and Debrosses Street, Manhattan (from series, Changing New York)",1936,"Transfer from the Evander Childs High School, Bronx, New York through the General Services Administration",sheet: 17 7/8 x 22 3/4 in. (45.5 x 57.9 cm.),,gelatin silver print mounted on paperboard,Photography,Photoprint,,http://americanart.si.edu/images/1975/1975.83.11_1a.jpg,http://americanart.si.edu/images/1975/1975.83.11_1a.jpg,Smithsonian American Art Museum
28,5,1975.83.13,"Washington Street no. 37 Manhattan (from series, Changing New York)",1936,"Transfer from the Evander Childs High School, Bronx, New York through the General Services Administration",sheet: 17 1/2 x 14 1/8 in. (44.6 x 35.8 cm.),,gelatin silver print mounted on paperboard,Photography,Photoprint,,http://americanart.si.edu/images/1975/1975.83.13_1a.jpg,http://americanart.si.edu/images/1975/1975.83.13_1a.jpg,Smithsonian American Art Museum
30,7,1973.176.1,Saddle/Soap,1972,Gift of Dr. Frederick P. Nause and Rebecca Nause,sheet: 29 5/8 x 22 1/8 in. (75.3 x 56.3 cm),,lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1973/1973.176.1_1a.jpg,http://americanart.si.edu/images/1973/1973.176.1_1a.jpg,Smithsonian American Art Museum
30,6927,1973.176.1,Saddle/Soap,1972,Gift of Dr. Frederick P. Nause and Rebecca Nause,sheet: 29 5/8 x 22 1/8 in. (75.3 x 56.3 cm),,lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1973/1973.176.1_1a.jpg,http://americanart.si.edu/images/1973/1973.176.1_1a.jpg,Smithsonian American Art Museum
30,6879,1973.176.1,Saddle/Soap,1972,Gift of Dr. Frederick P. Nause and Rebecca Nause,sheet: 29 5/8 x 22 1/8 in. (75.3 x 56.3 cm),,lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1973/1973.176.1_1a.jpg,http://americanart.si.edu/images/1973/1973.176.1_1a.jpg,Smithsonian American Art Museum
31,6879,1973.176.2,Self-Portrait with Saddles,1972,Gift of Dr. Frederick P. Nause and Rebecca Nause,sheet: 30 1/8 x 22 in. (76.4 x 55.8 cm),,lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1973/1973.176.2_1a.jpg,http://americanart.si.edu/images/1973/1973.176.2_1a.jpg,Smithsonian American Art Museum
31,7,1973.176.2,Self-Portrait with Saddles,1972,Gift of Dr. Frederick P. Nause and Rebecca Nause,sheet: 30 1/8 x 22 in. (76.4 x 55.8 cm),,lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1973/1973.176.2_1a.jpg,http://americanart.si.edu/images/1973/1973.176.2_1a.jpg,Smithsonian American Art Museum
31,6927,1973.176.2,Self-Portrait with Saddles,1972,Gift of Dr. Frederick P. Nause and Rebecca Nause,sheet: 30 1/8 x 22 in. (76.4 x 55.8 cm),,lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1973/1973.176.2_1a.jpg,http://americanart.si.edu/images/1973/1973.176.2_1a.jpg,Smithsonian American Art Museum
33,7,1974.118.1,Woman with Cat,n.d.,Gift of Dr. Christopher A. Graf and Janet Graf,,,,Graphic Arts,Print,,http://americanart.si.edu/images/1974/1974.118.1_1a.jpg,http://americanart.si.edu/images/1974/1974.118.1_1a.jpg,Smithsonian American Art Museum
34,8,1967.72.1,Greetings from a Manhattan Artist,ca. 1939,Transfer from D.C. Public Library,image: 8 1/8 x 9 5/8 in. (20.7 x 24.6 cm),,color lithograph on paper,Graphic Arts,Print,,http://americanart.si.edu/images/1967/1967.72.1_1a.jpg,http://americanart.si.edu/images/1967/1967.72.1_1a.jpg,Smithsonian American Art Museum
36,8,1967.72.4,My Father Reminisces,1937,Transfer from D.C. Public Library,image: 15 x 18 1/4 in. (38.1 x 46.2 cm),,lithograph,Graphic Arts,Print,,http://americanart.si.edu/images/1967/1967.72.4_1a.jpg,http://americanart.si.edu/images/1967/1967.72.4_1a.jpg,Smithsonian American Art Museum
37,8,1967.72.2,"Rosie, Her Mother and Brother",n.d.,Transfer from D.C. Public Library,sheet: 16 x 12 1/2 in. (40.6 x 31.8 cm),,lithograph,Graphic Arts,Print,,http://americanart.si.edu/images/1967/1967.72.2_1a.jpg,http://americanart.si.edu/images/1967/1967.72.2_1a.jpg,Smithsonian American Art Museum
39,8,1976.90.2,Untitled,n.d.,Museum purchase,,,,Graphic Arts,Print,,http://americanart.si.edu/images/1976/1976.90.2_1a.jpg,http://americanart.si.edu/images/1976/1976.90.2_1a.jpg,Smithsonian American Art Museum
40,9,1978.146.1,Slaughterhouse Ruins at Aledo,1937,Gift of the Gertrude Abercrombie Trust,20 x 24 in. (50.9 x 61.0 cm),,oil on canvas,Painting,,,http://americanart.si.edu/images/1978/1978.146.1_1a.jpg,http://americanart.si.edu/images/1978/1978.146.1_1a.jpg,Smithsonian American Art Museum
41,9,1978.146.2,The Stroll,n.d.,Gift of the Gertrude Abercrombie Trust,27 1/2 x 35 in. (69.8 x 88.9 cm.),,oil on fiberboard,Painting,,,http://americanart.si.edu/images/1978/1978.146.2_1a.jpg,http://americanart.si.edu/images/1978/1978.146.2_1a.jpg,Smithsonian American Art Museum
42,9,1971.447.1,White Cat,ca. 1935-1938,Transfer from The Museum of Modern Art,sight 36 x 30 1/8 in. (91.5 x 76.5 cm),,oil on canvas,Painting,,,http://americanart.si.edu/images/1971/1971.447.1_1a.jpg,http://americanart.si.edu/images/1971/1971.447.1_1a.jpg,Smithsonian American Art Museum
44,11,1975.83.20,Hollywood,n.d.,"Transfer from the Evander Childs High School, Bronx, New York through the General Services Administration",,,linoleum cut,Graphic Arts,Print,,http://americanart.si.edu/images/1975/1975.83.20_1a.jpg,http://americanart.si.edu/images/1975/1975.83.20_1a.jpg,Smithsonian American Art Museum
